cpu,mark,rank
Intel Core i7-2820QM @ 2.30GHz,4371,2496
Hisilicon Kirin820,4368,2497
Intel Xeon Bronze 3104 @ 1.70GHz,4367,2498
AMD Opteron 3380,4358,2499
AMD FX-6130 Six-Core,4353,2500
Intel Core i3-6300 @ 3.80GHz,4350,2501
Qualcomm SC7180P,4347,2502
Intel Xeon D-1513N @ 1.60GHz,4344,2503
AMD Athlon PRO 300GE,4342,2504
Intel Core i5-3350P @ 3.10GHz,4321,2505
Intel Core i5-3475S @ 2.90GHz,4320,2506
AMD Opteron 4376 HE,4318,2507
Intel Core i7-2920XM @ 2.50GHz,4318,2508
Intel Core i3-7100 @ 3.90GHz,4309,2509
Intel Core i7-2760QM @ 2.40GHz,4308,2510
Firestorm-M1,4295,2511
Mediatek MT8781V/NA,4293,2512
"Qualcomm Technologies, Inc SM8150_Plus",4289,2513
AMD Athlon 300GE,4281,2514
QTI SM7225,4280,2515
Intel Core i5-2450P @ 3.20GHz,4273,2516
Intel Celeron G6900E,4272,2517
Mediatek MT6789V/CD,4272,2518
Intel Core i3-8121U @ 2.20GHz,4271,2519
ARM ARMv8 6 Core 0 MHz,4262,2520
天玑900,4259,2521
Intel Core i5-6350HQ @ 2.30GHz,4255,2522
Intel Pentium Gold G5620 @ 4.00GHz,4251,2523
Intel Core i5-3340 @ 3.10GHz,4250,2524
Intel Core i5-6400T @ 2.20GHz,4249,2525
vendor Kirin810,4242,2526
Intel Core i5-2550K @ 3.40GHz,4228,2527
"Qualcomm Technologies, Inc SM6375",4228,2528
AMD FX-6300 Six-Core,4227,2529
Intel Pentium Gold G6600 @ 4.20GHz,4223,2530
Mediatek MT6833V/ZA,4219,2531
QTI SM7250,4216,2532
Mediatek MT8789V/T,4199,2533
QTI SM4450,4189,2534
Intel Pentium Gold G6500 @ 4.10GHz,4185,2535
Intel Celeron J6413 @ 1.80GHz,4185,2536
QTI SM6375,4184,2537
Intel Core i3-8109U @ 3.00GHz,4180,2538
Mediatek MT6853V/TNZA,4171,2539
Hisilicon Kirin985,4162,2540
Mediatek MT6781V/CDZAMB-H,4160,2541
Intel Core i3-1110G4 @ 1.80GHz,4160,2542
MediaTek MT8188,4158,2543
MediaTek G99 Ultimate (MT6789),4155,2544
Intel Xeon E5-1607 v2 @ 3.00GHz,4144,2545
Intel Core i5-2500K @ 3.30GHz,4142,2546
Intel Core i5-10210Y @ 1.00GHz,4142,2547
Intel Core i3-7300T @ 3.50GHz,4140,2548
Intel Atom x7433RE,4137,2549
MT6833V/PNZA,4135,2550
Virtual @ 2.89GHz,4134,2551
AMD Opteron 3365,4125,2552
MT6833P,4121,2553
QTI SM6350,4120,2554
MT8789V/CT,4119,2555
Mediatek MT8781V/CA,4117,2556
AMD Ryzen Embedded R1606G,4116,2557
MT6781V/CDZAMB-H,4113,2558
MT8789V/T,4111,2559
AMD FX-6200 Six-Core,4110,2560
Mediatek MT8370AV/A,4107,2561
Intel Core i7-7567U @ 3.50GHz,4107,2562
ARM ARMv8 8 Core 2500 MHz,4102,2563
Intel Core i5-3330 @ 3.00GHz,4101,2564
MT6833V/ZA,4100,2565
AMD Athlon 200GE,4100,2566
Intel Pentium Gold G6400 @ 4.00GHz,4099,2567
Intel Core i5-2500 @ 3.30GHz,4098,2568
Intel Core i3-6100 @ 3.70GHz,4097,2569
AMD FX-8100 Eight-Core,4095,2570
Qualcomm SM7150,4093,2571
ARM - 8 Core 1766 MHz,4080,2572
AMD Athlon PRO 300U,4080,2573
Hygon C86 52xx series,4080,2574
Intel Xeon E3-1260L @ 2.40GHz,4076,2575
MediaTek MT6873,4074,2576
AMD Opteron 6234,4072,2577
Intel Core i5-4590T @ 2.00GHz,4071,2578
AMD Ryzen 3 PRO 2100GE,4065,2579
Mediatek MT6833,4061,2580
Mediatek MT6833V/PNZA,4060,2581
Intel Pentium Gold G5600F @ 3.90GHz,4060,2582
Intel Celeron N5095A @ 2.00GHz,4058,2583
Intel Core i7-7660U @ 2.50GHz,4050,2584
Mediatek MT6781V/CD,4040,2585
Intel Core i7-2720QM @ 2.20GHz,4031,2586
Intel Pentium J6426 @ 2.00GHz,4029,2587
Hisilicon Kirin 990,4021,2588
Intel Core i3-8145UE @ 2.20GHz,4010,2589
Intel Celeron N5095 @ 2.00GHz,4008,2590
QTI QCM5430,4006,2591
ARM Neoverse-N2 4 Core 0 MHz,4002,2592
Intel Celeron N5105 @ 2.00GHz,4000,2593
ARM Kunpeng-920 8 Core 0 MHz,3989,2594
Samsung Exynos 9820,3987,2595
Intel Core i3-6300T @ 3.30GHz,3985,2596
ARM Neoverse-N1 5 Core 0 MHz,3981,2597
AMD Opteron 6212,3973,2598
Intel Core i3-6098P @ 3.60GHz,3971,2599
MT6781V/CD,3969,2600
Intel Core i5-3340S @ 2.80GHz,3962,2601
Qualcomm SM7250,3960,2602
AMD A9-9820,3958,2603
Intel Core i3-7101TE @ 3.40GHz,3956,2604
Intel Core i5-7260U @ 2.20GHz,3951,2605
AMD Opteron 4334,3949,2606
Mediatek MT8789V/CT,3946,2607
ARM Neoverse-V2 4 Core 0 MHz,3940,2608
Mediatek MT6853V/NZA,3937,2609
AMD Phenom II X6 1100T,3936,2610
AMD Ryzen Embedded R2312,3933,2611
Intel Atom C3958 @ 2.00GHz,3929,2612
Intel Core i7-985 @ 3.47GHz,3928,2613
Spreadtrum UMS9621S,3926,2614
Intel Core i3-8140U @ 2.10GHz,3919,2615
Intel Core i5-3330S @ 2.70GHz,3913,2616
Intel Core i7-2675QM @ 2.20GHz,3913,2617
Intel Xeon E3-1265L @ 2.40GHz,3912,2618
AMD Opteron 4332 HE,3911,2619
ARM Kunpeng-920 8 Core 2600 MHz,3910,2620
Intel Pentium Gold G6400E @ 3.80GHz,3908,2621
AMD Athlon Gold 3150U,3904,2622
Intel Xeon E3-1225 @ 3.10GHz,3904,2623
QTI SM4375,3886,2624
Rockchip RK3576,3880,2625
Intel Xeon E5640 @ 2.67GHz,3880,2626
QTI SM7125,3876,2627
Intel Core i5-3570T @ 2.30GHz,3875,2628
MT6781,3873,2629
Spreadtrum T765,3868,2630
Intel Core i5-2400 @ 3.10GHz,3868,2631
"Qualcomm Technologies, Inc",3865,2632
Intel Xeon E3-1220 @ 3.10GHz,3865,2633
ARM Kryo-4XX-Gold 8 Core 0 MHz,3864,2634
Intel Core i3-4370 @ 3.80GHz,3860,2635
Snapdragon 7c Gen 2 @ 2.55 GHz,3857,2636
Intel Pentium Gold G5500 @ 3.80GHz,3854,2637
AMD FX-6120 Six-Core,3853,2638
Mediatek MT6781,3853,2639
Intel Pentium Gold G5600 @ 3.90GHz,3849,2640
QTI SM4635,3843,2641
Intel Core i7-2840QM @ 2.40GHz,3842,2642
Intel Celeron J6412 @ 2.00GHz,3839,2643
AMD Athlon Silver 7120e with Radeon Graphics,3837,2644
Intel Core i3-10110U @ 2.10GHz,3836,2645
AMD Athlon 300U,3833,2646
Qualcomm SXR2230P,3829,2647
Intel Pentium Gold G6405 @ 4.10GHz,3829,2648
Intel Core i5-7360U @ 2.30GHz,3828,2649
Intel Xeon E5-2603 v3 @ 1.60GHz,3825,2650
Samsung Exynos 9825,3816,2651
AMD Phenom II X6 1090T,3816,2652
AMD Athlon PRO 200GE,3816,2653
Intel Core i7-7560U @ 2.40GHz,3810,2654
AMD PRO A12-8870,3809,2655
Intel Core i5-6287U @ 3.10GHz,3801,2656
Samsung Exynos 9810,3800,2657
AMD Ryzen Embedded R1505G,3791,2658
Intel Xeon E5-1607 @ 3.00GHz,3790,2659
Qualcomm SM7125,3788,2660
ARM Cortex-A78AE 8 Core 2201 MHz,3788,2661
Intel Xeon E5630 @ 2.53GHz,3785,2662
Intel Atom x6413E @ 1.50GHz,3783,2663
AMD Opteron 3280,3783,2664
Qualcomm SM6225,3781,2665
Mediatek MT6785,3780,2666
Virtual @ 2.56GHz,3778,2667
Intel Core i3-8145U @ 2.10GHz,3778,2668
Intel Pentium G4620 @ 3.70GHz,3775,2669
ARM Cortex-A57 8 Core 1766 MHz,3766,2670
ARM Cortex-A78AE 8 Core 1984 MHz,3764,2671
Intel Pentium Gold G6500T @ 3.50GHz,3764,2672
Intel Core i3-7100T @ 3.40GHz,3762,2673
AMD Athlon X4 845,3762,2674
QTI QCS5430,3760,2675
AMD PRO A10-8850B,3752,2676
AMD PRO A12-9800,3751,2677
Intel Atom C3708 @ 1.70GHz,3750,2678
Intel Core i7-2710QE @ 2.10GHz,3749,2679
MT6833,3748,2680
Mediatek MT6833P,3745,2681
Intel Core i5-7287U @ 3.30GHz,3743,2682
Virtual @ 2.70GHz,3742,2683
Intel Pentium Gold G5400 @ 3.70GHz,3736,2684
Intel Core i7-2670QM @ 2.20GHz,3735,2685
QTI SM7150,3733,2686
AMD Ryzen 3 3200U,3730,2687
QTI SM4350,3723,2688
MediaTek Kompanio 520/528 (MT8186/MT8186T),3717,2689
Intel Pentium Gold G5420 @ 3.80GHz,3715,2690
QTI SDM845,3713,2691
Snapdragon 7c @ 1.96 GHz,3712,2692
Intel Xeon L5638 @ 2.00GHz,3707,2693
AMD Ryzen 3 3250U,3705,2694
AMD A12-9800,3701,2695
Intel Pentium Gold G6505T @ 3.60GHz,3698,2696
AMD Opteron 6174,3697,2697
ARM Kryo-4XX-Silver 4 Core 1766 MHz,3696,2698
ZHAOXIN KaiXian KX-U6780@2.7GHz,3693,2699
AMD FX-6100 Six-Core,3692,2700
Intel Core i7-7600U @ 2.80GHz,3692,2701
Intel Core i5-2320 @ 3.00GHz,3688,2702
Intel Core i7-6567U @ 3.30GHz,3687,2703
AMD Athlon X4 970,3677,2704
Intel Atom x6425E @ 2.00GHz,3675,2705
Intel Core i5-3335S @ 2.70GHz,3672,2706
Intel Celeron G6900T,3668,2707
Intel Core i5-2310 @ 2.90GHz,3665,2708
MT6833V/NZA,3662,2709
MT6853V/TNZA,3655,2710
ARM - 4 Core 2016 MHz,3653,2711
Intel Core i5-4460T @ 1.90GHz,3652,2712
MediaTek MT6785V/CD,3652,2713
AMD Ryzen 3 2200U,3649,2714
DG1401SNF87ID,3645,2715
Intel Core i3-4360 @ 3.70GHz,3639,2716
Intel Xeon W3580 @ 3.33GHz,3638,2717
Intel Core i5-2380P @ 3.10GHz,3636,2718
Intel Core i7-6660U @ 2.40GHz,3636,2719
Intel Core i3-6100T @ 3.20GHz,3635,2720
Intel Core i7-7500U @ 2.70GHz,3635,2721
Intel Core i5-7300U @ 2.60GHz,3634,2722
AMD Athlon X4 880K,3630,2723
Intel Pentium G4600 @ 3.60GHz,3629,2724
Intel Core i5-7267U @ 3.10GHz,3626,2725
DG1301SML87HY,3624,2726
Intel Xeon E5620 @ 2.40GHz,3621,2727
Intel Core i3-4350 @ 3.60GHz,3611,2728
Mediatek MT6833V/NZA,3609,2729
AMD PRO A10-9700,3603,2730
Intel Core i7-10510Y @ 1.20GHz,3597,2731
Qualcomm SC7180,3584,2732
AMD Opteron 4365 EE,3582,2733
Qualcomm SM4350,3577,2734
AMD Athlon X4 950,3577,2735
Intel Core i3-4170 @ 3.70GHz,3575,2736
MT6785,3568,2737
AMD Opteron 6176 SE,3564,2738
Intel Core i7-6650U @ 2.20GHz,3558,2739
AMD A10-9700,3558,2740
Intel Core i7-2630QM @ 2.00GHz,3557,2741
Intel Pentium Gold G6400T @ 3.40GHz,3552,2742
AMD PRO A10-8770,3550,2743
MediaTek MT6853T,3549,2744
AMD Athlon Silver 10 with Radeon Graphics,3543,2745
Qualcomm MSM8998,3540,2746
Intel Pentium G4560 @ 3.50GHz,3535,2747
AMD A10-7890K,3534,2748
"Qualcomm Technologies, Inc ATOLL-AB",3532,2749
Intel Core i7-975 @ 3.33GHz,3532,2750
AMD A8-7680,3526,2751
Snapdragon 835 @ 2.45 GHz,3524,2752
"Qualcomm Technologies, Inc SDMMAGPIEP",3523,2753
Amlogic AMLA311D2,3522,2754
Intel Core i3-8130U @ 2.20GHz,3520,2755
Intel Xeon E5-2418L @ 2.00GHz,3518,2756
Intel Core i3-1000NG4 @ 1.10GHz,3517,2757
AMD Ryzen Embedded V1202B,3512,2758
AMD A10-7870K,3511,2759
Qualcomm SM6150,3509,2760
MT6853V/ZA,3505,2761
AMD Phenom II X6 1075T,3504,2762
Intel Core i3-4160 @ 3.60GHz,3502,2763
Intel Pentium Gold G5600T @ 3.30GHz,3496,2764
Snapdragon 845 @ 2.8 GHz,3495,2765
Intel Core i3-4340 @ 3.60GHz,3490,2766
Intel Core i3-4330 @ 3.50GHz,3484,2767
AMD Opteron 6164 HE,3478,2768
Intel Core i7-2635QM @ 2.00GHz,3476,2769
Intel Xeon E5-1603 @ 2.80GHz,3474,2770
Snapdragon 850 @ 2.96 GHz,3473,2771
QTI SM6225,3473,2772
AMD A10-8850,3467,2773
Intel Core i5-2300 @ 2.80GHz,3465,2774
Intel Xeon W5580 @ 3.20GHz,3459,2775
Intel Core i3-9100HL @ 1.60GHz,3454,2776
"Qualcomm Technologies, Inc SDM765G 5G",3452,2777
AMD Athlon X4 870K,3451,2778
Intel Core i3-7100H @ 3.00GHz,3450,2779
Snapdragon 7c @ 2.40 GHz,3448,2780
Intel Xeon X5698 @ 4.40GHz,3447,2781
AMD A10 PRO-7850B APU,3441,2782
"Qualcomm Technologies, Inc LAGOON",3438,2783
"Qualcomm Technologies, Inc SM7250",3437,2784
ZHAOXIN KaiXian KX-U6780A@2.7GHz,3437,2785
ARM Cortex-A715 4 Core 2200 MHz,3432,2786
Intel Core i7-880 @ 3.07GHz,3429,2787
MediaTek MT6785V/CC,3428,2788
AMD Embedded R-Series RX-418GD Radeon R6,3426,2789
Mediatek MT6779,3423,2790
"Qualcomm Technologies, Inc SDM730G AIE",3421,2791
KX-U6580@2.5GHz,3416,2792
AMD Athlon X4 860K,3416,2793
AMD A12-9800E,3416,2794
AMD Phenom II X6 1065T,3413,2795
Snapdragon888,3405,2796
Intel Core i3-4150 @ 3.50GHz,3404,2797
Intel Pentium Silver N5020 @ 1.10GHz,3404,2798
Intel Core i7-6600U @ 2.60GHz,3404,2799
"Qualcomm Technologies, Inc SDM845",3401,2800
AMD Opteron 4226,3400,2801
Intel Core i5-2405S @ 2.50GHz,3400,2802
General Purpose,3396,2803
"Qualcomm Technologies, Inc SM7125",3395,2804
Intel Core i7-960 @ 3.20GHz,3391,2805
"Qualcomm Technologies, Inc LITO",3391,2806
AMD A10-7850K APU,3391,2807
Intel Xeon W3565 @ 3.20GHz,3391,2808
Intel Xeon E5-4603 @ 2.00GHz,3391,2809
"Qualcomm Technologies, Inc SM7225",3390,2810
Intel Celeron 6600HLE @ 2.60GHz,3388,2811
AMD Phenom II X6 1055T,3385,2812
AMD Opteron 6136,3381,2813
Intel Core i5-4340M @ 2.90GHz,3380,2814
Intel Core i5-2500S @ 2.70GHz,3378,2815
ARM Cortex-A78 4 Core 1958 MHz,3378,2816
Intel Core i7-965 @ 3.20GHz,3375,2817
Intel Xeon W5590 @ 3.33GHz,3373,2818
Intel Core i5-7200U @ 2.50GHz,3372,2819
Intel Core i7-6498DU @ 2.50GHz,3372,2820
AMD Phenom II X6 1405T,3371,2821
Intel Pentium Gold G5420T @ 3.20GHz,3370,2822
AMD FX-B4150 Quad-Core,3369,2823
"Qualcomm Technologies, Inc KHAJE",3369,2824
Intel Core i3-7167U @ 2.80GHz,3368,2825
QTI SM6150,3367,2826
Intel Core i3-4370T @ 3.30GHz,3361,2827
Intel Core i5-6267U @ 2.90GHz,3358,2828
Intel Xeon E5-2407 v2 @ 2.40GHz,3354,2829
Intel Xeon X3470 @ 2.93GHz,3352,2830
Intel Core i7-6560U @ 2.20GHz,3346,2831
Intel Xeon Platinum 8575C,3342,2832
MT6853V/NZA,3342,2833
Intel Xeon E5-2609 v2 @ 2.50GHz,3339,2834
Intel Core i3-4130 @ 3.40GHz,3337,2835
ARM - 4 Core 1804 MHz,3336,2836
Intel Xeon X3480 @ 3.07GHz,3335,2837
AMD Athlon X4 840,3332,2838
Mediatek MT8788,3330,2839
AMD FX-4150 Quad-Core,3327,2840
AMD PRO A8-9600,3318,2841
Spreadtrum UMS9620S,3317,2842
Intel Core i3-6100E @ 2.70GHz,3315,2843
AMD A10 PRO-7800B APU,3310,2844
AMD FX-9830P,3307,2845
AMD Opteron X3421 APU,3306,2846
Intel Xeon X5570 @ 2.93GHz,3306,2847
AMD A8-7500,3302,2848
Intel Celeron N5100 @ 1.10GHz,3302,2849
"Qualcomm Technologies, Inc SDM720G",3302,2850
Intel Xeon L5609 @ 1.87GHz,3298,2851
Intel Core i3-4360T @ 3.20GHz,3294,2852
Intel Celeron 6600HE @ 2.60GHz,3286,2853
"Qualcomm Technologies, Inc SM7150",3284,2854
BCM2712,3284,2855
Intel Xeon Platinum 8475B,3280,2856
Intel Core i5-L16G7 @ 1.40GHz,3279,2857
AMD A8-9600,3277,2858
AMD Ryzen Embedded R1600,3276,2859
Intel Core i7-6500U @ 2.50GHz,3275,2860
AMD Opteron 4386,3273,2861
AMD A8-7670K,3267,2862
Intel Xeon W3570 @ 3.20GHz,3267,2863
Intel Core i7-4610M @ 3.00GHz,3267,2864
Intel Core i7-950 @ 3.07GHz,3257,2865
Intel Xeon W3550 @ 3.07GHz,3256,2866
Intel Pentium Gold G5500T @ 3.20GHz,3256,2867
Intel Pentium Silver J5040 @ 2.00GHz,3255,2868
Qualcomm SDM670,3254,2869
ARM Cortex-A72 8 Core 0 MHz,3254,2870
Intel Core i5-4400E @ 2.70GHz,3251,2871
AMD A10-9700E,3250,2872
Intel Core i3-4570T @ 2.90GHz,3244,2873
Intel Pentium D1508 @ 2.20GHz,3240,2874
MT6833GP,3238,2875
MT8667,3235,2876
Mediatek MT6768G,3232,2877
AMD PRO A8-8670E,3232,2878
Intel Xeon X5560 @ 2.80GHz,3231,2879
AMD PRO A8-8650B,3230,2880
MT6877,3229,2881
AMD FX-870K Quad Core,3227,2882
ZHAOXIN KaiXian KX-U6580@2.5GHz,3227,2883
AMD Phenom II X6 1045T,3223,2884
Intel Core i7-2715QE @ 2.10GHz,3221,2885
Intel Core i5-4570T @ 2.90GHz,3218,2886
AMD A10-7860K,3218,2887
Intel Core i7-4600M @ 2.90GHz,3217,2888
AMD A10-7800 APU,3217,2889
AMD A8-7600 APU,3211,2890
AMD A10-8750,3205,2891
Intel Core i5-6300U @ 2.40GHz,3203,2892
Intel Core i5-4330M @ 2.80GHz,3202,2893
Intel Atom x6427FE @ 1.90GHz,3196,2894
ARM - 8 Core 1800 MHz,3192,2895
Intel Core i5-2400S @ 2.50GHz,3189,2896
AMD A10-6800K APU,3189,2897
AMD FX-4350 Quad-Core,3188,2898
Intel Core i7-875K @ 2.93GHz,3186,2899
ARM - 4 Core 1800 MHz,3185,2900
Intel Core i5-6260U @ 1.80GHz,3183,2901
AMD A10-7700K APU,3183,2902
Mediatek MT8786V/N,3179,2903
"Qualcomm Technologies, Inc SDMMAGPIE",3178,2904
Samsung Exynos 8895,3177,2905
ARM Kryo-4XX-Silver 4 Core 1804 MHz,3172,2906
Intel Core i3-10110Y @ 1.00GHz,3171,2907
Intel Atom C1110,3170,2908
AMD FX-770K Quad-Core,3169,2909
AMD FX-4320,3168,2910
"Samsung ""Exynos 9610""",3168,2911
Intel Core i7-870 @ 2.93GHz,3166,2912
ARM Cortex-A55 8 Core 1800 MHz,3163,2913
Intel Core i3-4350T @ 3.10GHz,3156,2914
Intel Pentium Gold G5400T @ 3.10GHz,3156,2915
AMD A10-6800B APU,3155,2916
AMD Ryzen 3 3250C,3153,2917
Intel Core i7-5557U @ 3.10GHz,3151,2918
AMD FX-4330,3146,2919
AMD Ryzen Embedded R1305G,3142,2920
Intel Core i3-4170T @ 3.20GHz,3139,2921
MT8786V/CA,3134,2922
Intel Pentium Gold G6405T @ 3.50GHz,3128,2923
AMD PRO A12-9800E,3128,2924
Intel Core i3-6167U @ 2.70GHz,3128,2925
"Qualcomm Technologies, Inc BENGALP-IOT",3127,2926
Intel Core i5-6360U @ 2.00GHz,3126,2927
AMD FX-4170 Quad-Core,3124,2928
Intel Pentium Silver J5005 @ 1.50GHz,3119,2929
AMD FX-4200 Quad-Core,3119,2930
ARM Neoverse-N1 4 Core 0 MHz,3117,2931
ARM Cortex-A76 4 Core 1800 MHz,3117,2932
Unisoc T616,3116,2933
AMD A10-6700 APU,3114,2934
AMD A8-7650K,3113,2935
MediaTek MT6779V/CE,3112,2936
AMD A10-6790K APU,3112,2937
AMD Athlon Gold 3150C,3110,2938
Intel Core i3-6100TE @ 2.70GHz,3109,2939
Intel Core i5-6198DU @ 2.30GHz,3109,2940
Qualcomm SM6115,3107,2941
Intel Core i5-4570TE @ 2.70GHz,3105,2942
Intel Core i3-4330T @ 3.00GHz,3105,2943
AMD A8-8650,3103,2944
Mediatek MT8786V/CT,3100,2945
"Qualcomm Technologies, Inc SDM750G",3098,2946
Allwinner A733,3095,2947
Intel Core i3-4160T @ 3.10GHz,3089,2948
"Qualcomm Technologies, Inc SM4350",3087,2949
MT6769,3087,2950
Intel Core i5-5287U @ 2.90GHz,3085,2951
QTI SM611,3085,2952
ARM Neoverse-V1 4 Core 0 MHz,3084,2953
Intel Core i5-4210H @ 2.90GHz,3081,2954
MT6771V/CL,3079,2955
Intel Xeon W3540 @ 2.93GHz,3075,2956
Intel Core i7-4578U @ 3.00GHz,3070,2957
AMD PRO A10-8750B,3069,2958
Intel Xeon W3530 @ 2.80GHz,3066,2959
ARM Cortex-A76 8 Core 1800 MHz,3064,2960
AMD PRO A10-9700E,3063,2961
Intel Pentium G4600T @ 3.00GHz,3062,2962
Intel Core i5-24050S @ 2.50GHz,3061,2963
AMD Opteron 2435,3061,2964
ZHAOXIN KaiXian KX-U6780A,3057,2965
Spreadtrum T620,3052,2966
Intel Core i7-940 @ 2.93GHz,3050,2967
Intel Core i5-4310M @ 2.70GHz,3049,2968
Intel Xeon L5630 @ 2.13GHz,3048,2969
AMD Opteron X3418 APU,3043,2970
AMD A10-9630P,3041,2971
Intel Core i5-4200H @ 2.80GHz,3039,2972
AMD Athlon Silver 7120U,3036,2973
Intel Core i3-7130U @ 2.70GHz,3036,2974
Intel Xeon X5550 @ 2.67GHz,3036,2975
ARM Ampere-1 4 Core 0 MHz,3034,2976
vendor Kirin970,3027,2977
MT8786V/N,3026,2978
AMD Embedded R-Series RX-421ND,3024,2979
AMD A8 PRO-7600B APU,3023,2980
Intel Core i7-860 @ 2.80GHz,3018,2981
AMD Athlon X4 830,3018,2982
ARM Cortex-A78 4 Core 2000 MHz,3016,2983
HiSilicon Kirin 710,3016,2984
AMD Phenom II X6 1035T,3012,2985
AMD PRO A12-8870E,3010,2986
AMD A8-6600K APU,3009,2987
SMDK4x12,3006,2988
AMD A12-9730P,3005,2989
Intel Core i3-6100H @ 2.70GHz,3003,2990
Intel Core i7-930 @ 2.80GHz,3002,2991
AMD PRO A10-8770E,3001,2992
AMD Embedded R-Series RX-421BD,3000,2993
Intel Core i5-3470T @ 2.90GHz,3000,2994
Intel Core i7-5600U @ 2.60GHz,3000,2995
AMD A10-5800B APU,2998,2996
Intel Core i7-5650U @ 2.20GHz,2997,2997
Intel Pentium G4560T @ 2.90GHz,2994,2998
AMD FX-4300 Quad-Core,2994,2999
AMD Athlon Silver 3050e,2990,3000
Intel Core i5-6200U @ 2.30GHz,2989,3001
AMD Opteron 4174 HE,2986,3002
Intel Core i5-4308U @ 2.80GHz,2985,3003
Intel Core i7-3540M @ 3.00GHz,2984,3004
DG1701SNF87IG,2981,3005
Intel Atom C5315,2980,3006
AMD FX-670K Quad-Core,2980,3007
Intel Xeon E5-2637 @ 3.00GHz,2978,3008
AMD Athlon X4 760K Quad Core,2977,3009
Intel Core i7-4558U @ 2.80GHz,2973,3010
virt-9.2,2967,3011
AMD A10-5800K APU,2967,3012
Intel Core i5-4300M @ 2.60GHz,2962,3013
Intel Core i3-10100Y @ 1.30GHz,2958,3014
Intel Xeon X3460 @ 2.80GHz,2951,3015
"Qualcomm Technologies, Inc SM6150",2950,3016
AMD Athlon Silver 3050U,2947,3017
Snapdragon 850 @ 2.40 GHz,2946,3018
Hisilicon Kirin810,2945,3019
Intel Pentium GOLD 6500Y @ 1.10GHz,2944,3020
Intel Core i5-3380M @ 2.90GHz,2941,3021
Intel Xeon W3520 @ 2.67GHz,2941,3022
Qualcomm SM6125,2938,3023
Spreadtrum T618,2934,3024
Intel Pentium Silver N6000 @ 1.10GHz,2934,3025
Intel Celeron J4125 @ 2.00GHz,2933,3026
AMD Opteron 6128 HE,2932,3027
Intel Core i5-2500T @ 2.30GHz,2929,3028
Spreadtrum UMS9230E,2928,3029
Unisoc ums9230H,2924,3030
Unisoc ums9230T,2919,3031
Intel Xeon X5492 @ 3.40GHz,2912,3032
Intel Xeon E5-2609 @ 2.40GHz,2912,3033
HiSilicon Kirin 970,2908,3034
Spreadtrum T616,2906,3035
Intel Core i5-4210M @ 2.60GHz,2904,3036
Spreadtrum T612,2903,3037
HiSilicon Kirin 960,2897,3038
AMD Athlon X4 750K Quad Core,2896,3039
AMD Opteron 2431,2894,3040
Spreadtrum UMS9230H,2894,3041
Intel Core i3-4150T @ 3.00GHz,2892,3042
AMD Phenom II X4 980,2880,3043
Intel Core i5-3360M @ 2.80GHz,2880,3044
Intel Xeon X3450 @ 2.67GHz,2879,3045
AMD Athlon Silver 3050C,2879,3046
QTI SM6115,2879,3047
Spreadtrum UMS9230,2878,3048
QTI SM6125,2876,3049
AMD Opteron 4184,2872,3050
"Qualcomm Technologies, Inc SDA660",2872,3051
Intel Xeon X5470 @ 3.33GHz,2871,3052
Intel Core i3-4130T @ 2.90GHz,2868,3053
Intel Core i7-920 @ 2.67GHz,2867,3054
Spreadtrum T615,2862,3055
AMD A8-5600K APU,2861,3056
MT8788,2860,3057
"Qualcomm Technologies, Inc MSM8998",2859,3058
AMD FX-7600P APU,2856,3059
ARM Cortex-A78 8 Core,2845,3060
Intel Core i7-3520M @ 2.90GHz,2839,3061
MT6768G,2838,3062
AMD FX-8800P,2837,3063
Intel Celeron G5925 @ 3.60GHz,2836,3064
Intel Core i5-5257U @ 2.70GHz,2833,3065
Unisoc T610,2826,3066
AMD Opteron 6128,2826,3067
Intel Core i5-4278U @ 2.60GHz,2825,3068
T606,2824,3069
vendor Kirin710,2819,3070
Intel Atom x6425RE @ 1.90GHz,2819,3071
Intel Celeron J4105 @ 1.50GHz,2816,3072
Mediatek MT6769,2810,3073
Spreadtrum T7255,2809,3074
Qualcomm SDM450,2808,3075
Intel Core i5-4200M @ 2.50GHz,2806,3076
Intel Xeon E5540 @ 2.53GHz,2805,3077
Intel Pentium G4500 @ 3.50GHz,2804,3078
Intel Core i7-5500U @ 2.40GHz,2804,3079
Mediatek MT6768,2803,3080
Intel Core i3-6157U @ 2.40GHz,2788,3081
Intel Atom C2750 @ 2.40GHz,2787,3082
AMD Phenom II X4 970,2785,3083
Intel Celeron G6900TE,2782,3084
T610S-Unisoc,2781,3085
Unisoc UIS7862S,2780,3086
Intel Core2 Extreme X9775 @ 3.20GHz,2780,3087
Intel Core i7-5550U @ 2.00GHz,2780,3088
ARM Cortex-A78AE 6 Core 1728 MHz,2778,3089
ARM ARMv8 rev 1 (v8l) 6 Core 1984 MHz,2776,3090
"Qualcomm Technologies, Inc QCM6125",2775,3091
Mediatek MT6769V/CB,2774,3092
MediaTek G85 (MT6769Z),2772,3093
T618,2771,3094
AMD Athlon PRO 3045B,2770,3095
Intel Xeon X3440 @ 2.53GHz,2769,3096
Spreadtrum UMS9230S,2766,3097
Intel Core i7-870S @ 2.67GHz,2765,3098
Spreadtrum UMS9230T,2764,3099
Intel Celeron G5905 @ 3.50GHz,2762,3100
Spreadtrum T7200,2761,3101
Intel Core m3-8100Y @ 1.10GHz,2760,3102
